feature	s__Bifidobacterium_dentium	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_longum	s__Lactobacillus_fermentum	s__Lactobacillus_salivarius	s__Lactobacillus_rhamnosus	s__Actinomyces_naeslundii	s__Actinomyces_oris	s__Actinomyces_sp_HPA0247	s__Streptococcus_anginosus_group	s__Streptococcus_mutans	s__Streptococcus_vestibularis	s__Escherichia_coli	s__Klebsiella_pneumoniae	s__Klebsiella_quasipneumoniae	s__Blautia_wexlerae	s__Blautia_hansenii	s__Anaerostipes_hadrus	s__Clostridium_sp_CAG_58	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_rectale	s__Eubacterium_sp_CAG_38	s__Faecalibacterium_prausnitzii	s__Fusicatenibacter_saccharivorans	s__Roseburia_faecis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Ruminococcus_bicirculans	s__Ruminococcus_lactaris
DP279	0	0.0290161	0	0.0437507	0	0	0	0	0.0002374	0	0	0	0	0	0	0	3.65e-05	0	0.0017829	0	0	0.0056628	0.001328	0.004564	0.0013625	0.0191873	0.0113491	0.001224	0.0022903	0.0023153	0	0
DP278	0	0	0	0	0	0	0	0.0001537	0	0	0	0	0	0.0215636	0	0	0.0271544	0	0.002964	0.000848	0	0.0204473	0.0006088	0	0	0.0085652	0.0129708	0	0.0015171	0	0.0107416	0
DP277	0	0	0	0	0	0	0	0	0.0002798	2.21e-05	0	0	0	0.0355924	0	0	0.0004316	0.0020322	0.0060052	0	0	0.0019423	0	0.0090009	0.0046312	0.0273141	0.0690909	0.020733	0.0031991	0.0011442	0	0
DP276	0.0036711	0.0287969	0	0.0098682	0	0.0301348	0.0004701	0	0.0009252	0	0.0024608	0.0020799	0	0.0167075	0	0	0	0	2.46e-05	0	0	0.009917	0	3.58e-05	0	0.000474	0	0.0001111	0.0001467	0.0002909	0.0015594	0
DP275	0	0	0.0001088	0.0002961	0	0	0	0	0	7.1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65e-05	0	0.0115954	0	0	0	0.0058638
DP274	0	6.62e-05	0	0.0016721	0	0	0	0	0	0	0	0	0	0	0.1790486	0.0152093	0.0009345	0	0.0009807	0.0002201	0.000757	0.0012641	0.0006034	0.0294994	0.0011588	0.0446736	0.0042427	0.0622909	0.0025756	0.0070769	0.0275517	0
DP273	0.0230776	0.0819793	0.0747863	0.4250063	0	0	2.24e-05	0	7e-06	0	0	0	0	0	0	0	0	0	0	0	0.0120428	0	0	0	0	0.0224295	0.013304	0.0156578	0	0	0	0
DP272	0	0.0241488	0	0.2100909	0.0002351	0	0.0006836	0	0.0013605	0.0028707	0	0	0	0.0001756	0	0	0.0249884	0	0	0	0.0067723	0.0026554	0	0	0	2.03e-05	0	0	0.0050003	0	0	0
DP271	0	0	0	0.0003008	0	0	0	0	8.93e-05	0	3.93e-05	0	0.0005002	0	0	0	0.0247046	0.0007134	0.0042368	0.0111944	0	0.0098868	0	0.0986149	0.0004408	0.2116236	0	0.0351458	0.0004717	0	0	0
DP270	0	0.0326778	0	0.0109179	0	0	9.82e-05	0	0	0	0	0	0	0.0003459	6.32e-05	0	0.003196	0	0.0240942	0.0032248	0	0.0163978	0.0020499	0.1251691	0.000477	0.0490897	0.0462086	0.0475273	0.0088863	0.0013964	0	0
DP269	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104747	0.0001126	0	0.0009017	0	0.0158375	0.0035523	0.0157927	0.0099848	6.02e-05	0.0905592	0.0011788	0.1495875	0.0248699	0.0143472	0.0031533	0.0007943	9.28e-05	0
DP267	0.0001397	0.0958085	0	0.1219359	0	0	0.0030932	5.42e-05	9.33e-05	0	0	0	0.0004763	0.0020045	0	0	0.0052948	0	0	0.0006184	0	0.1129437	0	0	0	0.0454111	0	0	0.015296	0	0.0096603	0
DP265	0.0004168	0.0408978	0.0158879	0.0228964	0	0	0	0.0001094	0.0001533	0	0.0007227	0.0002303	0	0	0	0	0.0005073	0	0	0	0	0	0.0014569	0.0622469	0	0.0473595	0.0059019	0	0	0	0	0
DP264	0.0030153	0	0	0.0074144	0	0	0.0014913	0	9.5e-06	0	0.0017436	0.0007947	0	0.0010908	0	0	0.0973555	0	0	0	0	0.00438	0	0	0.0120391	0	0	0	0.013953	0	0	0
DP263	0	0	0	0.0083619	0	0	0	0	0.0002376	0.0001396	0	0	4.66e-05	0.0023512	0	0	0.0016694	0	0.046256	0.0101302	0	0	0	0	0.0035089	0.0002565	0.0072903	0	0.0008863	0	0	0
DP262	0.0056077	0.0270224	0	0.2679967	0	0	0	0	5.51e-05	0.0002813	0.0002707	0.0009004	0.0001625	0.0383755	0.001839	0.0002782	0	0	0	0	0	0.0002547	2.79e-05	0	0	0.0055283	0	0	0	0	0.0010707	0
DP261	0	0	0	0.0022648	0	0	0	0	0	0	0	0	0.0002612	0	0	0	0.0371035	0	0.015915	0.0040008	0.0242068	0.0012612	0	0.1281005	0.0051715	0.0555336	0.0361384	0.0261327	0.0406224	0.0118047	0.1135269	0
DP260	0	0	0	0.0063684	0	0	0	0	0	0	0	0	0.0001482	0	0	0	0.0019122	0	0.0310164	0.0185796	0.0127159	0.0045336	0	0.0007528	0	0.0421215	0.0322301	0.0016714	0.0110525	0.0023056	0	0
DP258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0275869	0	0.002647	0.0072964	0	0	0	0.0278914	0	0.0531795	0.0320089	0	0.0298377	0.0124035	0	0
DP256	0	0	0	0.0233937	0.0001858	0	0	0	0	0	0	0	8.69e-05	0	0.0063957	0	0.0026371	0	0.0092028	0.0013881	0.0151693	0.0062727	0.0011458	0.0187457	0.0008934	0.033822	0	0.0135849	0.0034745	0.0057706	0	0
