feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Streptococcus_gordonii	seqs_scaled	seqs_scaled	0.275108901711264	0.0930018806155438	724	159	0.00319683312182416	0.0413315692340906
s__Blautia_hansenii	Case_status	PD	-0.923038681110607	0.311398582527828	724	137	0.00313518967349812	0.0413315692340906
s__Megasphaera_sp_MJR8396C	Case_status	PD	0.910035509928767	0.307840718130332	724	99	0.00321646453183585	0.0413315692340906
s__Actinomyces_naeslundii	Case_status	PD	0.497506064959083	0.169777794402995	724	96	0.00349310702657913	0.0427489764681351
s__Butyricimonas_virosa	seqs_scaled	seqs_scaled	0.46334222879826	0.158110862044226	724	287	0.00349140716895584	0.0427489764681351
s__Klebsiella_pneumoniae	Case_status	PD	0.981321192717269	0.334541096922807	724	190	0.00345994157069045	0.0427489764681351
s__Bifidobacterium_saeculare	Case_status	PD	0.343144106331678	0.11787856535319	724	39	0.00371405613119273	0.0447427699554624
s__Streptococcus_mitis	Case_status	PD	-0.549218622285027	0.189304772125324	724	115	0.00383028362536711	0.045433056540893
s__Harryflintia_acetispora	seqs_scaled	seqs_scaled	0.318505114699227	0.110019888250419	724	190	0.00390662501722943	0.0454506775391308
s__Dielma_fastidiosa	seqs_scaled	seqs_scaled	0.329982689895057	0.114121809609281	724	138	0.00394966977317998	0.0454506775391308
s__Actinomyces_sp_oral_taxon_181	seqs_scaled	seqs_scaled	0.19966392400192	0.0692187048286707	724	57	0.00403697913044238	0.0457722192583981
s__Clostridium_hylemonae	Case_status	PD	0.295905421557476	0.102811537017165	724	39	0.00411886466723415	0.0460238356295294
s__Streptococcus_vestibularis	Case_status	PD	0.723744751520412	0.25271995314146	724	245	0.00430740749059844	0.0474430167893057
s__Parasutterella_excrementihominis	seqs_scaled	seqs_scaled	0.543187844647633	0.19036051229204	724	388	0.00444862146190452	0.0483082696778645
